 0.0, 0.0, 1281
-5.5330, -2.2505, 346.346327, 2323
-5.5299, -2.2505, 346.346327, 2324
-5.5482, -2.2505, 346.346327, 2324
-5.5574, -2.2505, 346.346327, 2327
-5.5543, -2.2505, 346.346327, 2324
-5.5452, -2.2505, 346.346327, 2324
-5.5391, -2.2505, 346.346327, 2322
-5.5482, -2.2505, 346.346327, 2324
-5.5177, -2.2505, 346.346327, 2324
-5.5269, -2.2505, 346.346327, 2324
-5.5147, -2.2505, 346.346327, 2323
-5.5147, -2.2505, 346.346147, 2329
-5.4995, -2.2505, 346.346147, 2324
-4.4965, -2.2505, 346.346147, 2324
-4.4965, -2.2505, 346.346147, 2324
-4.4965, -2.2505, 346.346147, 2322
-5.5086, -2.2505, 346.346147, 2324
-4.4935, -2.2505, 346.346147, 2324
-4.4965, -2.2505, 346.346147, 2324
-4.4965, -2.2505, 346.346147, 2332
-4.4935, -2.2505, 346.346147, 2324
-5.5025, -2.2505, 346.346147, 2324
-5.5116, -2.2505, 346.346147, 2322
-5.5086, -2.2505, 346.346147, 2324
-5.5177, -2.2505, 346.346147, 2324
-5.5177, -2.2505, 346.346147, 2324
-5.5208, -2.2505, 346.346147, 2322
-5.5513, -2.2505, 346.346147, 2329
-5.5391, -2.2505, 346.346147, 2322
-5.5452, -2.2505, 346.346147, 2324
-5.5665, -2.2505, 346.346147, 2324
-5.5787, -2.2505, 346.346147, 2324
-5.5787, -2.2505, 346.346147, 2322
-5.5787, -2.2505, 346.346147, 2324
-5.5909, -2.2505, 346.346147, 2324
-5.5848, -2.2483, 346.345967, 2333
-5.5757, -2.2483, 346.345967, 2324
-5.5696, -2.2483, 346.345967, 2324
-5.5757, -2.2483, 346.345967, 2324
-5.5726, -2.2483, 346.345967, 2322
-5.5635, -2.2483, 346.345967, 2324
-5.5787, -2.2483, 346.345967, 2324
-5.5726, -2.2483, 346.345967, 2324
-5.5970, -2.2483, 346.345967, 2329
-6.6030, -2.2483, 346.345967, 2324
-6.6091, -2.2483, 346.345967, 2322
-6.6244, -2.2483, 346.345967, 2323
-6.6274, -2.2483, 346.345967, 2324
-6.6244, -2.2483, 346.345967, 2324
-6.6213, -2.2483, 346.345967, 2322
-6.6274, -2.2483, 346.345967, 2324
-6.6335, -2.2483, 346.345967, 2329
-6.6426, -2.2483, 346.345787, 2324
-6.6335, -2.2483, 346.345787, 2322
-6.6152, -2.2483, 346.345787, 2323
-6.6091, -2.2483, 346.345787, 2324
-6.6274, -2.2483, 346.345787, 2324
-6.6183, -2.2483, 346.345787, 2322
-6.6152, -2.2483, 346.345787, 2323
-6.6061, -2.2483, 346.345787, 2332
-6.6152, -2.2483, 346.345787, 2324
-6.6213, -2.2483, 346.345787, 2324
-6.6244, -2.2483, 346.345787, 2323
-6.6122, -2.2483, 346.345787, 2322
-6.6183, -2.2483, 346.345787, 2324
-6.6122, -2.2483, 346.345787, 2324
-6.6122, -2.2483, 346.345787, 2324
-6.6122, -2.2483, 346.345787, 2329
-5.5909, -2.2483, 346.345787, 2323
-5.5848, -3.3336, 345.345607, 2322
-5.5787, -3.3336, 345.345607, 2324
-5.5818, -3.3336, 345.345607, 2324
-5.5909, -3.3336, 345.345607, 2324
-5.5696, -3.3336, 345.345607, 2322
-5.5543, -3.3336, 345.345607, 2324
-5.5574, -3.3336, 345.345607, 2333
-5.5574, -3.3336, 345.345607, 2322
-5.5360, -3.3336, 345.345607, 2324
-5.5421, -3.3336, 345.345607, 2324
-5.5269, -3.3336, 345.345607, 2323
-5.5238, -3.3336, 345.345607, 2322
-5.5116, -3.3336, 345.345607, 2324
-5.5025, -3.3336, 345.345607, 2324
-4.4965, -3.3336, 345.345607, 2330
-4.4904, -3.3336, 345.345607, 2322
-4.4965, -3.3336, 345.345607, 2324
-4.4843, -3.3336, 345.345607, 2324
-5.4995, -3.3336, 345.345607, 2323
-5.5086, -3.3336, 345.345607, 2322
-4.4965, -3.3336, 345.345607, 2324
-5.5208, -3.3336, 345.345607, 2324
-5.5238, -3.3336, 345.345607, 2329
-5.5177, -3.3336, 345.345427, 2322
-5.5147, -3.3336, 345.345427, 2324
-5.5177, -3.3336, 345.345427, 2324
-5.5208, -3.3336, 345.345427, 2324
-5.5147, -3.3336, 345.345427, 2322
-5.5055, -3.3336, 345.345427, 2324
-4.4904, -3.3336, 345.345427, 2324
-4.4965, -3.3336, 345.345427, 2330
-4.4843, -3.3336, 345.345427, 2322
-5.4995, -3.3336, 345.345427, 2324
-4.4965, -3.3336, 345.345427, 2324
-5.4995, -3.3336, 345.345427, 2323
-4.4874, -3.3336, 345.345427, 2322
-4.4965, -3.3336, 345.345427, 2324
-5.5086, -3.3336, 345.345427, 2324
-5.5025, -3.3336, 345.345427, 2332
-5.4995, -3.3336, 345.345427, 2324
-4.4935, -3.3336, 345.345427, 2324
-4.4965, -3.3336, 345.345427, 2324
-5.5025, -3.3336, 345.345427, 2322
-5.5055, -3.3336, 345.345427, 2324
-5.5116, -3.3336, 345.345427, 2324
-5.4995, -3.3336, 345.345427, 2324
-5.5116, -3.3336, 345.345427, 2329
-5.5025, -3.3336, 345.345427, 2324
-5.5086, -3.3336, 345.345427, 2322
-5.5055, -2.2382, 345.345247, 2324
-5.5086, -2.2382, 345.345247, 2324
-5.5177, -2.2382, 345.345247, 2324
-5.5116, -2.2382, 345.345247, 2322
-5.5208, -2.2382, 345.345247, 2324
-4.4935, -2.2382, 345.345247, 2334
-5.5025, -2.2382, 345.345247, 2324
-5.4995, -2.2382, 345.345247, 2324
-5.5086, -2.2382, 345.345247, 2322
-5.5177, -2.2382, 345.345247, 2324
-5.5269, -2.2382, 345.345247, 2324
-5.5360, -2.2382, 345.345247, 2324
-5.5360, -2.2382, 345.345247, 2322
-5.5574, -2.2382, 345.345247, 2330
-5.5726, -2.2382, 345.345247, 2324
-5.5909, -2.2382, 345.345247, 2324
-5.5970, -2.2382, 345.345247, 2323
-6.6122, -2.2382, 345.345247, 2324
-6.6274, -2.2382, 345.345247, 2324
-6.6304, -2.2382, 345.345247, 2324
-6.6183, -2.2382, 345.345067, 2322
-6.6365, -2.2382, 345.345067, 2330
-6.6396, -2.2382, 345.345067, 2324
-6.6426, -2.2382, 345.345067, 2324
-6.6335, -2.2382, 345.345067, 2322
-6.6396, -2.2382, 345.345067, 2323
-6.6396, -2.2382, 345.345067, 2324
-6.6365, -2.2382, 345.345067, 2324
-6.6304, -2.2382, 345.345067, 2322
-6.6152, -2.2382, 345.345067, 2329
-6.6244, -2.2382, 345.345067, 2322
-6.6122, -2.2382, 345.345067, 2324
-6.6091, -2.2382, 345.345067, 2324
-5.5970, -2.2382, 345.345067, 2324
